booking_id,customer_id,hotel_id,room_id,booking_date,check_in_date,check_out_date,lead_time,adults,children,meal_plan,market_segment,booking_status,adr,total_nights,special_requests,booking_channel,discount_percentage,booking_revenue,total_guests
22,172,27,1628,2025-05-09,2025-07-19,2025-07-21,71,3,4,Breakfast,Offline,Checked Out,16065,2,1,App,10,32130,7
23,2499,34,284,2024-11-07,2025-01-10,2025-01-13,64,3,0,Half Board,Online,Checked Out,10389,3,1,Website,16,31167,3
24,4874,35,1110,2025-12-12,2026-02-20,2026-03-02,70,2,1,Breakfast,Offline,Confirmed,24239,10,1,Walk-in,27,242390,3
25,4782,73,911,2025-11-24,2026-01-14,2026-01-16,51,1,0,Full Board,Online,Checked Out,22717,2,3,App,9,45434,1
26,1858,58,1919,2024-07-23,2024-08-07,2024-08-11,15,3,1,Breakfast,Corporate,Canceled,24075,4,5,Walk-in,19,96300,4
27,1265,62,58,2024-08-16,2024-09-18,2024-09-26,33,1,2,Full Board,Travel Agent,Canceled,7300,8,2,App,11,58400,3
28,3707,26,66,2024-06-01,2024-08-25,2024-08-31,85,2,3,Half Board,Corporate,Checked Out,23097,6,0,App,28,138582,5
29,1189,94,104,2025-08-22,2025-09-26,2025-10-10,35,1,3,Full Board,Online,Checked Out,10284,14,4,App,0,143976,4
30,1993,56,1530,2024-07-03,2024-09-23,2024-10-01,82,4,3,Half Board,Corporate,Checked Out,18974,8,4,Travel Agent,31,151792,7
31,3833,30,464,2026-04-10,2026-04-22,2026-05-04,12,2,2,Breakfast,Offline,Canceled,13393,12,4,Website,11,160716,4
32,2385,87,115,2025-05-28,2025-06-29,2025-07-08,32,3,3,Full Board,Corporate,Checked Out,22402,9,3,Travel Agent,6,201618,6
33,4297,16,315,2025-03-22,2025-06-09,2025-06-12,79,1,3,Full Board,Travel Agent,Confirmed,18182,3,2,Website,36,54546,4
34,1310,34,1346,2024-08-19,2024-11-06,2024-11-12,79,2,3,Half Board,Travel Agent,Confirmed,8186,6,3,App,28,49116,5
35,3899,94,1420,2025-02-18,2025-03-10,2025-03-11,20,1,0,Breakfast,Travel Agent,Canceled,5584,1,5,Walk-in,21,5584,1
36,3766,38,983,2025-10-05,2026-01-02,2026-01-09,89,2,2,Breakfast,Online,Canceled,17898,7,3,Walk-in,19,125286,4
37,4961,66,1155,2025-11-14,2025-12-18,2025-12-30,34,1,3,Breakfast,Travel Agent,Canceled,22819,12,5,Travel Agent,33,273828,4
38,149,22,587,2024-08-16,2024-10-21,2024-10-22,66,5,1,Breakfast,Online,Confirmed,10701,1,4,App,14,10701,6
39,3931,16,1597,2026-04-29,2026-06-07,2026-06-09,39,3,2,Full Board,Online,Confirmed,20479,2,4,App,3,40958,5
40,1560,97,757,2025-05-15,2025-06-14,2025-06-23,30,3,1,Breakfast,Offline,Canceled,3320,9,5,App,6,29880,4
41,3025,89,60,2026-04-08,2026-04-28,2026-05-13,20,3,4,Full Board,Online,Checked Out,21716,15,4,Travel Agent,23,325740,7
42,3789,30,283,2026-04-17,2026-06-29,2026-07-13,73,2,4,Breakfast,Travel Agent,Checked Out,21549,14,0,App,33,301686,6
43,4711,70,812,2025-06-27,2025-07-28,2025-08-12,31,2,4,Breakfast,Online,Canceled,24719,15,1,Website,17,370785,6
44,4603,54,1866,2024-09-21,2024-11-15,2024-11-29,55,2,0,Breakfast,Online,Canceled,18072,14,4,Website,36,253008,2
45,3930,6,958,2024-05-19,2024-06-21,2024-06-30,33,4,4,Full Board,Travel Agent,Canceled,15875,9,2,Walk-in,37,142875,8
46,2876,11,87,2025-01-11,2025-01-20,2025-01-22,9,1,2,Half Board,Offline,Canceled,20881,2,1,Walk-in,21,41762,3
47,840,65,1530,2025-02-23,2025-04-23,2025-04-27,59,1,4,Half Board,Offline,Canceled,3482,4,4,Walk-in,11,13928,5
48,1322,83,1499,2025-06-02,2025-07-01,2025-07-02,29,4,1,Half Board,Corporate,Confirmed,7299,1,0,Walk-in,10,7299,5
49,1206,31,142,2025-08-08,2025-10-10,2025-10-23,63,1,2,Breakfast,Corporate,Confirmed,24849,13,5,Travel Agent,24,323037,3
50,3424,60,900,2025-05-12,2025-06-11,2025-06-20,30,3,4,Half Board,Offline,Canceled,8199,9,3,Travel Agent,7,73791,7
51,2254,53,55,2024-05-28,2024-08-20,2024-08-30,84,3,1,Full Board,Corporate,Canceled,19676,10,5,Walk-in,40,196760,4
52,3122,69,476,2024-05-28,2024-07-24,2024-07-29,57,3,4,Half Board,Travel Agent,Confirmed,4996,5,3,Walk-in,25,24980,7
53,4628,12,1564,2024-11-29,2024-12-20,2024-12-30,21,4,3,Breakfast,Travel Agent,Confirmed,7123,10,2,App,38,71230,7
54,528,11,1602,2025-02-23,2025-02-24,2025-03-11,1,1,0,Breakfast,Travel Agent,Checked Out,20816,15,3,App,7,312240,1
55,3348,27,977,2026-03-06,2026-05-12,2026-05-26,67,3,0,Full Board,Travel Agent,Checked Out,8127,14,5,Website,13,113778,3
56,464,94,1056,2025-12-29,2026-01-22,2026-01-25,24,1,4,Breakfast,Offline,Checked Out,13410,3,5,App,10,40230,5
57,2385,48,543,2025-10-10,2025-12-10,2025-12-24,61,3,2,Half Board,Travel Agent,Confirmed,11460,14,3,Travel Agent,38,160440,5
58,3588,87,1493,2024-11-22,2024-12-15,2024-12-20,23,4,0,Half Board,Corporate,Confirmed,12263,5,3,Travel Agent,35,61315,4
59,4734,96,535,2025-03-15,2025-05-04,2025-05-12,50,2,0,Full Board,Travel Agent,Confirmed,21627,8,1,Travel Agent,27,173016,2
60,1566,58,770,2024-10-29,2025-01-15,2025-01-24,78,1,4,Breakfast,Corporate,Checked Out,8416,9,4,App,1,75744,5
61,4045,73,60,2024-10-17,2024-12-26,2025-01-03,70,5,0,Breakfast,Online,Confirmed,19966,8,0,App,25,159728,5
62,915,47,890,2025-07-05,2025-08-02,2025-08-08,28,4,0,Breakfast,Offline,Canceled,21198,6,1,App,20,127188,4
63,1573,41,859,2024-09-18,2024-10-02,2024-10-12,14,2,4,Half Board,Corporate,Confirmed,9546,10,3,App,34,95460,6
64,2082,4,1483,2025-02-06,2025-03-02,2025-03-17,24,1,1,Half Board,Offline,Confirmed,19385,15,0,Walk-in,15,290775,2
65,570,70,321,2025-08-25,2025-09-18,2025-09-19,24,5,0,Breakfast,Corporate,Canceled,21432,1,4,Travel Agent,26,21432,5
66,3822,66,423,2025-06-17,2025-08-12,2025-08-27,56,1,1,Breakfast,Travel Agent,Confirmed,24659,15,4,Walk-in,3,369885,2
67,3896,45,165,2024-09-14,2024-12-02,2024-12-12,79,2,3,Half Board,Corporate,Checked Out,10079,10,0,Walk-in,6,100790,5
68,4053,73,1259,2024-06-28,2024-09-13,2024-09-25,77,1,4,Half Board,Corporate,Confirmed,15477,12,4,App,0,185724,5
69,3495,45,512,2025-09-05,2025-11-10,2025-11-22,66,5,2,Breakfast,Corporate,Confirmed,11906,12,2,Travel Agent,34,142872,7
70,4768,28,1422,2025-09-18,2025-10-26,2025-11-08,38,3,0,Breakfast,Online,Canceled,14370,13,2,App,35,186810,3
71,3882,22,286,2025-07-07,2025-09-03,2025-09-15,58,3,3,Full Board,Corporate,Confirmed,22935,12,1,App,21,275220,6
72,1283,98,379,2026-04-02,2026-06-20,2026-06-24,79,4,1,Half Board,Corporate,Canceled,6855,4,5,Walk-in,20,27420,5
73,110,58,1181,2024-05-26,2024-08-15,2024-08-16,81,3,4,Breakfast,Corporate,Canceled,11102,1,3,Travel Agent,28,11102,7
74,3074,57,1366,2024-05-29,2024-06-18,2024-06-22,20,4,4,Breakfast,Online,Canceled,23274,4,2,Website,26,93096,8
75,3283,55,371,2024-08-13,2024-09-08,2024-09-17,26,4,3,Full Board,Corporate,Confirmed,3146,9,4,Website,29,28314,7
76,1392,80,1972,2024-09-16,2024-10-13,2024-10-21,27,1,3,Half Board,Corporate,Checked Out,7463,8,0,App,25,59704,4
77,2916,39,514,2025-09-26,2025-10-05,2025-10-10,9,1,1,Full Board,Online,Checked Out,23788,5,2,Travel Agent,21,118940,2
78,4282,36,1148,2025-01-06,2025-01-09,2025-01-20,3,3,0,Full Board,Corporate,Checked Out,13646,11,1,App,34,150106,3
79,3290,5,1453,2024-09-24,2024-10-23,2024-11-06,29,2,1,Full Board,Offline,Canceled,13748,14,0,Website,31,192472,3
80,3328,25,851,2025-03-25,2025-05-03,2025-05-18,39,5,1,Full Board,Online,Canceled,19746,15,4,Walk-in,25,296190,6
81,2154,30,691,2025-06-08,2025-06-13,2025-06-21,5,1,3,Half Board,Offline,Confirmed,3195,8,3,App,27,25560,4
82,4433,87,1688,2025-07-10,2025-07-19,2025-08-03,9,3,2,Half Board,Offline,Checked Out,4093,15,0,Walk-in,28,61395,5
83,852,99,368,2024-11-04,2025-01-31,2025-02-10,88,4,2,Breakfast,Travel Agent,Canceled,16011,10,2,Walk-in,12,160110,6
84,3907,69,1912,2025-06-03,2025-08-03,2025-08-13,61,5,0,Half Board,Travel Agent,Checked Out,22696,10,5,Website,39,226960,5
85,860,74,1125,2024-09-12,2024-11-03,2024-11-09,52,5,4,Half Board,Corporate,Checked Out,5557,6,2,Travel Agent,12,33342,9
86,3708,66,1567,2025-03-12,2025-04-05,2025-04-07,24,3,2,Half Board,Travel Agent,Canceled,18555,2,3,Travel Agent,1,37110,5
87,2801,95,695,2025-10-02,2025-11-22,2025-11-23,51,5,4,Full Board,Offline,Canceled,20069,1,4,Walk-in,26,20069,9
88,1366,60,1446,2025-02-27,2025-04-05,2025-04-18,37,3,2,Breakfast,Online,Checked Out,10590,13,2,Travel Agent,23,137670,5
89,420,11,1906,2024-09-12,2024-10-02,2024-10-10,20,3,3,Breakfast,Travel Agent,Canceled,17874,8,4,Website,34,142992,6
90,1031,58,1655,2024-12-22,2024-12-30,2025-01-13,8,5,1,Breakfast,Online,Checked Out,15040,14,2,Walk-in,25,210560,6
91,3461,93,1560,2026-03-23,2026-04-23,2026-05-07,31,3,3,Breakfast,Travel Agent,Checked Out,6340,14,3,Walk-in,36,88760,6
92,1956,63,686,2026-04-08,2026-05-04,2026-05-18,26,3,4,Breakfast,Offline,Checked Out,8264,14,1,App,5,115696,7
93,1268,46,1743,2025-07-21,2025-08-24,2025-09-03,34,3,4,Half Board,Offline,Checked Out,11159,10,5,App,0,111590,7
94,2637,27,530,2024-11-04,2024-12-25,2025-01-01,51,4,4,Half Board,Online,Confirmed,17246,7,4,Website,1,120722,8
95,676,1,81,2025-01-25,2025-02-14,2025-02-28,20,1,1,Breakfast,Travel Agent,Canceled,20594,14,3,Website,29,288316,2
96,4190,52,1631,2025-06-20,2025-08-31,2025-09-01,72,3,2,Full Board,Online,Canceled,19650,1,1,Travel Agent,31,19650,5
97,1211,94,1248,2024-11-03,2024-12-26,2025-01-01,53,3,1,Half Board,Online,Confirmed,3115,6,1,App,36,18690,4
98,3019,26,935,2025-07-18,2025-08-02,2025-08-08,15,3,4,Breakfast,Travel Agent,Confirmed,9597,6,4,Travel Agent,25,57582,7
99,3080,22,592,2024-08-11,2024-10-01,2024-10-16,51,2,4,Breakfast,Offline,Checked Out,6809,15,0,Website,3,102135,6
100,947,57,945,2025-02-02,2025-04-04,2025-04-19,61,3,2,Half Board,Online,Checked Out,4456,15,1,Walk-in,35,66840,5
101,960,63,1523,2024-10-12,2024-11-30,2024-12-05,49,3,0,Half Board,Offline,Confirmed,21825,5,1,App,14,109125,3
102,1854,35,1226,2025-12-28,2026-01-12,2026-01-26,15,4,3,Breakfast,Online,Canceled,13448,14,2,Website,40,188272,7
103,1813,58,714,2024-10-19,2024-10-23,2024-11-06,4,1,2,Breakfast,Travel Agent,Canceled,23883,14,4,Travel Agent,24,334362,3
104,4586,24,1882,2026-02-20,2026-04-29,2026-05-10,68,2,4,Full Board,Travel Agent,Checked Out,21929,11,1,App,28,241219,6
105,1306,68,594,2025-07-25,2025-10-01,2025-10-08,68,5,3,Breakfast,Corporate,Canceled,4053,7,2,Website,4,28371,8
106,4918,86,1644,2024-09-13,2024-10-02,2024-10-04,19,5,0,Half Board,Corporate,Confirmed,24551,2,2,App,21,49102,5
107,62,11,1585,2025-12-27,2026-03-11,2026-03-17,74,5,3,Half Board,Corporate,Checked Out,10753,6,5,Travel Agent,3,64518,8
108,2376,33,739,2025-02-18,2025-04-03,2025-04-16,44,5,4,Breakfast,Corporate,Canceled,23432,13,1,Website,0,304616,9
109,1678,65,1117,2026-01-30,2026-02-17,2026-02-18,18,4,0,Full Board,Travel Agent,Confirmed,23968,1,1,Travel Agent,1,23968,4
110,1157,13,1648,2025-12-13,2026-01-19,2026-01-22,37,1,0,Half Board,Travel Agent,Checked Out,5185,3,3,Travel Agent,22,15555,1
111,496,68,583,2024-12-15,2025-01-03,2025-01-05,19,5,3,Half Board,Corporate,Confirmed,4325,2,2,Walk-in,27,8650,8
112,1498,22,1265,2025-11-22,2026-01-28,2026-02-04,67,1,2,Half Board,Corporate,Confirmed,7659,7,3,Website,1,53613,3
113,4079,28,1230,2025-08-02,2025-09-16,2025-09-30,45,2,4,Breakfast,Travel Agent,Checked Out,15542,14,0,Travel Agent,0,217588,6
114,4035,19,1465,2024-11-16,2025-01-04,2025-01-09,49,2,2,Full Board,Offline,Checked Out,19919,5,5,Walk-in,5,99595,4
115,1137,7,623,2025-06-19,2025-08-18,2025-09-02,60,4,3,Breakfast,Online,Canceled,14938,15,4,App,0,224070,7
116,1063,60,1793,2025-03-28,2025-06-24,2025-07-02,88,2,1,Half Board,Corporate,Confirmed,15803,8,4,App,29,126424,3
117,1919,20,1427,2024-06-07,2024-07-17,2024-07-21,40,4,1,Breakfast,Corporate,Confirmed,21300,4,3,App,19,85200,5
118,1931,96,1393,2024-09-24,2024-12-01,2024-12-05,68,2,1,Breakfast,Online,Canceled,17924,4,3,Walk-in,27,71696,3
119,2040,68,116,2026-02-14,2026-04-17,2026-04-23,62,5,2,Full Board,Corporate,Confirmed,3979,6,4,Walk-in,10,23874,7
120,4055,14,1731,2024-10-15,2024-10-23,2024-10-27,8,1,0,Full Board,Online,Canceled,22163,4,2,App,13,88652,1
121,4784,70,110,2026-01-29,2026-02-03,2026-02-09,5,5,4,Breakfast,Corporate,Confirmed,4416,6,5,Travel Agent,1,26496,9
122,3939,52,1032,2025-07-25,2025-08-02,2025-08-14,8,3,4,Half Board,Corporate,Canceled,20334,12,4,Walk-in,9,244008,7
123,3805,57,800,2024-10-13,2024-11-03,2024-11-09,21,5,2,Half Board,Corporate,Canceled,9064,6,5,Travel Agent,18,54384,7
124,1437,64,1012,2025-06-27,2025-08-06,2025-08-09,40,3,0,Breakfast,Offline,Confirmed,22048,3,2,App,26,66144,3
125,2289,18,1758,2024-11-14,2025-01-10,2025-01-15,57,2,1,Breakfast,Travel Agent,Canceled,22981,5,0,Walk-in,11,114905,3
126,2250,78,1122,2025-02-23,2025-03-20,2025-03-29,25,4,0,Full Board,Corporate,Confirmed,6352,9,5,Website,14,57168,4
127,4086,58,1276,2025-01-27,2025-04-23,2025-04-29,86,2,0,Breakfast,Corporate,Confirmed,17959,6,2,App,33,107754,2
128,3073,19,1546,2026-02-12,2026-04-03,2026-04-15,50,2,0,Half Board,Corporate,Checked Out,9984,12,2,App,13,119808,2
129,2438,62,959,2026-01-15,2026-03-16,2026-03-20,60,4,1,Breakfast,Travel Agent,Canceled,23699,4,4,Walk-in,32,94796,5
130,2918,39,1892,2024-06-19,2024-07-08,2024-07-16,19,4,4,Full Board,Online,Canceled,17126,8,5,Travel Agent,14,137008,8
131,2006,92,1007,2025-07-15,2025-10-05,2025-10-06,82,5,2,Full Board,Online,Canceled,23979,1,5,Walk-in,40,23979,7
132,1634,53,1090,2024-07-10,2024-07-27,2024-08-06,17,4,3,Breakfast,Online,Canceled,20170,10,2,Website,20,201700,7
133,2844,99,724,2024-11-29,2025-01-19,2025-01-21,51,3,0,Breakfast,Travel Agent,Canceled,6248,2,4,Website,35,12496,3
134,3123,14,177,2026-01-23,2026-03-31,2026-04-07,67,3,4,Full Board,Online,Confirmed,22850,7,3,Website,32,159950,7
135,4856,59,1852,2025-01-20,2025-03-18,2025-04-01,57,1,0,Full Board,Offline,Canceled,7131,14,4,App,7,99834,1
136,1382,83,1789,2024-12-29,2025-02-13,2025-02-26,46,3,1,Breakfast,Travel Agent,Confirmed,16302,13,2,Website,6,211926,4
137,3420,79,22,2024-07-02,2024-08-23,2024-09-02,52,3,2,Breakfast,Corporate,Confirmed,18776,10,3,App,4,187760,5
138,3666,11,1192,2024-09-02,2024-11-19,2024-12-03,78,1,1,Full Board,Offline,Confirmed,12744,14,3,Website,2,178416,2
139,1033,44,1946,2025-11-18,2026-02-16,2026-02-24,90,4,2,Full Board,Offline,Confirmed,11074,8,1,App,2,88592,6
140,4168,79,1155,2025-05-27,2025-06-22,2025-07-06,26,1,2,Half Board,Corporate,Confirmed,12807,14,0,Travel Agent,8,179298,3
141,2293,51,430,2025-08-08,2025-08-19,2025-08-31,11,1,0,Full Board,Travel Agent,Checked Out,4881,12,3,Website,4,58572,1
142,4379,27,717,2026-03-30,2026-06-11,2026-06-20,73,1,2,Half Board,Corporate,Canceled,19218,9,4,App,6,172962,3
143,780,20,736,2025-01-10,2025-03-22,2025-03-24,71,3,3,Breakfast,Travel Agent,Confirmed,10285,2,2,Website,15,20570,6
144,2802,36,1419,2026-04-21,2026-06-06,2026-06-17,46,1,3,Half Board,Corporate,Canceled,3700,11,0,Travel Agent,8,40700,4
145,1572,53,1123,2024-09-21,2024-12-11,2024-12-21,81,1,1,Breakfast,Corporate,Canceled,11847,10,1,Walk-in,35,118470,2
146,1096,100,47,2026-03-24,2026-06-16,2026-06-17,84,4,4,Half Board,Corporate,Checked Out,18352,1,4,Walk-in,21,18352,8
147,1449,17,331,2025-07-06,2025-09-13,2025-09-18,69,4,3,Half Board,Online,Confirmed,4775,5,0,Website,27,23875,7
148,1037,43,363,2024-06-18,2024-08-13,2024-08-27,56,4,4,Breakfast,Corporate,Canceled,18889,14,2,Walk-in,7,264446,8
149,3605,63,609,2025-05-28,2025-08-12,2025-08-13,76,2,0,Full Board,Online,Checked Out,16290,1,1,Website,26,16290,2
150,2419,26,1709,2026-04-13,2026-05-10,2026-05-22,27,4,0,Breakfast,Corporate,Confirmed,12066,12,2,Travel Agent,22,144792,4
151,3770,31,692,2025-11-19,2025-12-24,2025-12-27,35,2,2,Full Board,Travel Agent,Confirmed,10506,3,2,Travel Agent,33,31518,4
152,1588,22,331,2026-02-15,2026-05-06,2026-05-15,80,3,1,Half Board,Online,Confirmed,24322,9,1,Travel Agent,28,218898,4
153,4745,1,395,2025-07-29,2025-09-01,2025-09-12,34,2,4,Half Board,Travel Agent,Confirmed,15961,11,1,Travel Agent,0,175571,6
154,4023,94,687,2025-07-14,2025-08-27,2025-09-05,44,2,1,Breakfast,Online,Checked Out,19190,9,5,App,2,172710,3
155,101,82,308,2024-07-03,2024-07-08,2024-07-20,5,2,2,Breakfast,Online,Confirmed,13006,12,1,Travel Agent,40,156072,4
156,3056,99,1728,2026-03-16,2026-04-12,2026-04-21,27,2,2,Breakfast,Online,Confirmed,12886,9,0,Walk-in,26,115974,4
157,3301,49,851,2025-11-28,2025-12-29,2026-01-07,31,5,2,Full Board,Offline,Canceled,9496,9,2,Travel Agent,39,85464,7
158,4963,74,983,2026-04-19,2026-05-28,2026-06-07,39,5,2,Full Board,Online,Confirmed,5323,10,5,Walk-in,18,53230,7
159,2029,90,331,2024-10-25,2024-12-05,2024-12-17,41,5,3,Half Board,Travel Agent,Confirmed,13510,12,3,Walk-in,37,162120,8
160,4437,27,182,2026-03-31,2026-05-10,2026-05-24,40,5,4,Full Board,Travel Agent,Confirmed,8117,14,3,Travel Agent,25,113638,9
161,1514,66,1660,2026-01-11,2026-02-10,2026-02-14,30,1,4,Breakfast,Online,Canceled,12811,4,2,Website,24,51244,5
162,4962,60,935,2026-02-11,2026-04-18,2026-04-21,66,1,2,Full Board,Corporate,Checked Out,12677,3,4,Website,4,38031,3
163,259,55,761,2026-04-06,2026-07-02,2026-07-17,87,3,3,Half Board,Corporate,Confirmed,11541,15,1,Travel Agent,30,173115,6
164,2241,77,1826,2026-03-09,2026-06-05,2026-06-16,88,1,3,Half Board,Offline,Canceled,24251,11,0,App,32,266761,4
165,3386,22,1683,2025-04-22,2025-05-24,2025-05-29,32,5,1,Breakfast,Corporate,Checked Out,14983,5,4,Walk-in,27,74915,6
166,4358,20,318,2025-01-16,2025-02-28,2025-03-02,43,2,0,Full Board,Corporate,Canceled,13966,2,3,Website,21,27932,2
167,3345,95,1678,2025-05-17,2025-07-29,2025-08-05,73,3,3,Breakfast,Offline,Canceled,17662,7,4,App,14,123634,6
168,2559,49,995,2026-03-01,2026-04-09,2026-04-14,39,5,3,Full Board,Offline,Checked Out,6198,5,4,App,23,30990,8
169,827,37,1317,2026-03-17,2026-06-12,2026-06-15,87,5,1,Half Board,Offline,Canceled,23156,3,5,App,39,69468,6
170,689,98,1503,2024-06-13,2024-06-20,2024-06-29,7,1,3,Full Board,Travel Agent,Canceled,10362,9,5,Walk-in,16,93258,4
171,4307,58,409,2024-05-12,2024-07-09,2024-07-18,58,2,0,Half Board,Online,Checked Out,17314,9,0,Website,25,155826,2
172,940,85,1124,2025-12-30,2026-03-19,2026-03-24,79,2,3,Full Board,Travel Agent,Checked Out,11225,5,0,Travel Agent,3,56125,5
173,4682,72,1379,2026-01-04,2026-01-19,2026-01-25,15,4,2,Breakfast,Corporate,Canceled,10480,6,0,Website,37,62880,6
174,4929,69,1297,2025-03-22,2025-06-05,2025-06-15,75,3,0,Breakfast,Travel Agent,Canceled,12805,10,1,Travel Agent,5,128050,3
175,3637,40,59,2025-09-09,2025-10-19,2025-10-22,40,3,2,Breakfast,Offline,Confirmed,7648,3,4,Walk-in,32,22944,5
176,3770,4,1147,2024-07-26,2024-10-07,2024-10-18,73,1,0,Full Board,Offline,Canceled,10165,11,3,Walk-in,14,111815,1
177,956,5,61,2024-10-27,2024-11-08,2024-11-17,12,3,4,Breakfast,Corporate,Canceled,21563,9,0,Website,9,194067,7
178,2127,86,1341,2025-10-09,2025-12-18,2025-12-29,70,5,4,Full Board,Travel Agent,Confirmed,14756,11,3,App,6,162316,9
179,4195,10,17,2026-02-25,2026-05-20,2026-05-26,84,5,3,Half Board,Travel Agent,Confirmed,4723,6,2,App,37,28338,8
180,4906,3,1992,2025-12-19,2026-02-03,2026-02-17,46,2,2,Half Board,Online,Canceled,17711,14,2,App,33,247954,4
181,4658,65,574,2024-07-29,2024-08-19,2024-08-23,21,5,4,Half Board,Travel Agent,Checked Out,14793,4,5,Website,34,59172,9
182,2314,10,360,2025-05-28,2025-07-21,2025-07-26,54,1,1,Breakfast,Corporate,Checked Out,19986,5,3,Website,22,99930,2
183,1674,97,1024,2025-01-25,2025-04-13,2025-04-28,78,1,3,Breakfast,Travel Agent,Confirmed,24075,15,1,Walk-in,8,361125,4
184,3126,12,228,2025-01-02,2025-02-22,2025-02-27,51,2,4,Full Board,Travel Agent,Confirmed,9872,5,5,Walk-in,30,49360,6
185,1325,80,1039,2026-04-26,2026-05-10,2026-05-25,14,3,3,Full Board,Corporate,Canceled,17170,15,4,Travel Agent,2,257550,6
186,2089,53,242,2025-10-25,2025-11-01,2025-11-11,7,3,3,Full Board,Corporate,Checked Out,17110,10,1,Walk-in,25,171100,6
187,3463,65,694,2025-11-15,2025-11-21,2025-11-23,6,5,3,Half Board,Travel Agent,Checked Out,17241,2,4,Walk-in,14,34482,8
188,3691,99,689,2024-09-16,2024-10-04,2024-10-09,18,2,4,Breakfast,Online,Confirmed,23254,5,5,Travel Agent,4,116270,6
189,1709,17,775,2025-10-08,2025-12-26,2026-01-05,79,1,1,Full Board,Travel Agent,Confirmed,21453,10,5,Walk-in,28,214530,2
190,1086,95,388,2024-06-18,2024-09-09,2024-09-22,83,4,4,Breakfast,Travel Agent,Checked Out,12351,13,4,Website,13,160563,8
191,597,71,888,2024-09-21,2024-11-18,2024-11-20,58,3,4,Full Board,Online,Canceled,18312,2,2,Travel Agent,7,36624,7
192,2059,53,692,2025-01-08,2025-04-07,2025-04-10,89,3,2,Half Board,Corporate,Canceled,4288,3,3,App,24,12864,5
193,4522,86,1547,2025-10-31,2025-11-27,2025-12-04,27,1,1,Full Board,Offline,Checked Out,9390,7,1,App,13,65730,2
194,1500,13,117,2024-12-18,2024-12-26,2025-01-10,8,2,3,Full Board,Offline,Confirmed,12311,15,2,Travel Agent,36,184665,5
195,758,23,475,2024-05-14,2024-06-11,2024-06-19,28,2,2,Half Board,Offline,Checked Out,4505,8,3,Travel Agent,22,36040,4
