cancellation_id,booking_id,cancellation_date,cancellation_reason,refund_amount,refund_status,cancellation_source
132,3252,2025-07-20,Travel Restriction,10706,Processed,Hotel
133,11825,2025-12-01,Personal Issue,44210,Processed,Customer
134,11975,2024-08-21,Emergency,26439,Pending,System
135,2494,2026-01-25,Emergency,47721,Pending,Customer
136,7321,2025-08-15,Price Change,11266,Pending,Hotel
137,9610,2025-07-14,Personal Issue,48210,Processed,System
138,7086,2025-05-06,Schedule Conflict,37001,Processed,Customer
139,170,2025-01-19,Travel Restriction,18035,Pending,System
140,992,2024-11-04,Travel Restriction,32706,Pending,Customer
141,10283,2025-05-08,Price Change,41146,Processed,Hotel
142,1676,2026-04-19,Price Change,9094,Pending,System
143,8265,2026-01-02,Travel Restriction,36014,Processed,Customer
144,3946,2024-09-30,Health Issue,39574,Pending,Customer
145,7827,2026-02-06,Travel Restriction,49896,Pending,Customer
146,11217,2024-12-20,Travel Restriction,14017,Pending,System
147,435,2025-07-31,Price Change,37686,Processed,Customer
148,5564,2025-12-21,Schedule Conflict,11468,Pending,System
149,11430,2025-03-19,Schedule Conflict,41009,Pending,Hotel
150,7087,2025-02-15,Personal Issue,7127,Processed,Hotel
151,5081,2024-05-17,Travel Restriction,17910,Processed,Hotel
152,9448,2025-02-02,Personal Issue,37061,Pending,System
153,11733,2025-05-24,Emergency,12982,Processed,System
154,6955,2024-12-08,Schedule Conflict,43245,Processed,System
155,10529,2024-08-27,Schedule Conflict,13405,Pending,Hotel
156,11649,2026-03-01,Travel Restriction,33359,Pending,Hotel
157,9384,2024-06-13,Emergency,20939,Processed,Hotel
158,3304,2025-06-12,Personal Issue,25168,Pending,Hotel
159,4278,2024-09-26,Travel Restriction,26909,Processed,System
160,6119,2024-12-15,Personal Issue,36538,Pending,Hotel
161,11598,2025-10-21,Price Change,34349,Pending,Hotel
162,4309,2026-03-08,Personal Issue,39166,Processed,System
163,10035,2024-07-09,Emergency,10527,Pending,System
164,9818,2025-09-22,Personal Issue,14063,Pending,Customer
165,2504,2025-10-23,Personal Issue,18751,Pending,Hotel
166,11960,2025-05-06,Personal Issue,28465,Processed,Hotel
167,4374,2025-03-11,Schedule Conflict,37181,Pending,Hotel
168,7172,2024-09-16,Emergency,18183,Pending,Customer
169,2216,2026-03-02,Health Issue,38570,Pending,System
170,11964,2025-05-16,Schedule Conflict,39398,Processed,System
171,5788,2024-07-28,Emergency,28084,Pending,Hotel
172,7811,2025-03-10,Emergency,30467,Pending,Customer
173,3674,2024-08-09,Personal Issue,31020,Pending,System
174,7024,2024-06-13,Emergency,24245,Pending,Customer
175,2306,2024-11-17,Travel Restriction,8145,Pending,Hotel
176,1804,2026-04-21,Schedule Conflict,24512,Processed,Hotel
177,4116,2025-10-23,Travel Restriction,28850,Processed,Hotel
178,10819,2025-11-21,Travel Restriction,37037,Processed,System
179,6725,2025-08-13,Schedule Conflict,22965,Pending,System
180,485,2024-07-24,Emergency,38627,Processed,Hotel
181,6185,2025-03-31,Emergency,43041,Processed,System
182,4736,2025-03-28,Schedule Conflict,33217,Pending,Hotel
183,5163,2025-10-07,Emergency,33824,Processed,Customer
184,8620,2024-09-30,Emergency,19224,Processed,Customer
185,10227,2025-05-22,Price Change,22447,Processed,System
186,2087,2025-09-29,Schedule Conflict,21445,Pending,System
187,11758,2025-01-09,Emergency,6071,Processed,Hotel
188,87,2025-02-07,Schedule Conflict,47137,Pending,Hotel
189,680,2025-01-26,Schedule Conflict,30782,Processed,Hotel
190,5777,2025-09-28,Personal Issue,36184,Processed,Customer
191,10924,2024-07-09,Emergency,13407,Processed,Hotel
192,10611,2025-07-04,Schedule Conflict,21115,Pending,Customer
193,8709,2024-09-26,Personal Issue,8224,Pending,Hotel
194,5633,2025-11-11,Health Issue,29248,Pending,Customer
195,1807,2025-10-09,Emergency,19583,Processed,Hotel
196,406,2024-12-08,Schedule Conflict,41922,Processed,System
197,3767,2025-03-19,Personal Issue,30261,Processed,Hotel
198,11927,2025-06-07,Travel Restriction,17570,Processed,System
199,8686,2024-10-27,Schedule Conflict,4181,Pending,Hotel
200,7855,2024-12-05,Personal Issue,37303,Processed,Hotel
201,3758,2024-08-28,Personal Issue,14622,Pending,System
202,6095,2024-11-18,Price Change,31878,Processed,System
203,9190,2026-02-05,Emergency,23994,Pending,System
204,3428,2024-07-16,Emergency,29858,Pending,System
205,2382,2024-10-22,Health Issue,45849,Processed,Hotel
206,2086,2025-09-05,Travel Restriction,10538,Pending,System
207,4261,2024-12-01,Price Change,41913,Pending,Customer
208,8689,2026-01-24,Schedule Conflict,45323,Pending,Customer
209,9964,2025-12-30,Travel Restriction,47773,Processed,Customer
210,4135,2026-01-22,Health Issue,5366,Processed,System
211,2551,2025-11-30,Personal Issue,8698,Pending,Hotel
212,8820,2024-11-04,Schedule Conflict,39511,Pending,Customer
213,3247,2025-12-26,Health Issue,47671,Pending,System
214,5650,2026-03-23,Schedule Conflict,30403,Processed,Hotel
215,10701,2024-07-14,Emergency,6924,Pending,Customer
216,3771,2024-08-16,Price Change,8415,Processed,Hotel
217,972,2024-12-15,Price Change,36290,Processed,Hotel
218,3446,2025-12-25,Travel Restriction,16884,Pending,Hotel
219,1162,2025-04-26,Travel Restriction,15649,Processed,Customer
220,10719,2025-12-07,Emergency,27135,Pending,System
221,5970,2024-09-05,Health Issue,27434,Processed,Hotel
222,2549,2024-08-02,Price Change,18285,Processed,Hotel
223,3391,2025-06-12,Travel Restriction,6485,Processed,Hotel
224,264,2025-11-21,Price Change,26022,Processed,System
225,7376,2025-03-24,Personal Issue,9280,Pending,Customer
226,7813,2024-05-26,Travel Restriction,27524,Pending,Hotel
227,659,2025-04-23,Personal Issue,43812,Pending,Customer
228,11579,2025-05-08,Schedule Conflict,41418,Pending,Customer
229,10257,2025-08-18,Health Issue,43115,Pending,System
230,4553,2025-03-06,Travel Restriction,38317,Pending,System
231,546,2024-07-08,Price Change,21396,Processed,Hotel
232,348,2026-03-30,Schedule Conflict,44839,Pending,Customer
233,11335,2024-08-14,Price Change,15900,Pending,Hotel
234,8407,2025-03-17,Emergency,10909,Pending,System
235,309,2025-01-14,Personal Issue,36939,Pending,Hotel
236,2783,2026-04-26,Travel Restriction,24999,Processed,System
237,1760,2025-08-04,Travel Restriction,32136,Pending,System
238,7705,2024-08-28,Emergency,36608,Processed,Customer
239,5609,2024-09-02,Personal Issue,25996,Processed,Hotel
240,2566,2025-01-16,Price Change,37332,Pending,Hotel
241,8023,2026-01-02,Schedule Conflict,36479,Pending,Customer
242,3402,2025-12-24,Emergency,5010,Pending,Customer
243,1580,2025-12-26,Personal Issue,48546,Processed,Hotel
244,5220,2026-02-11,Emergency,33534,Pending,Customer
245,2574,2024-08-13,Emergency,19451,Processed,System
246,3761,2026-02-23,Health Issue,1169,Processed,Hotel
247,10798,2025-03-11,Schedule Conflict,26522,Processed,Hotel
248,4293,2025-10-01,Price Change,7745,Processed,Hotel
249,562,2025-10-08,Travel Restriction,4378,Processed,Hotel
250,3751,2025-02-15,Schedule Conflict,23274,Processed,Customer
251,10132,2026-01-25,Travel Restriction,26851,Pending,System
252,3005,2026-04-16,Emergency,10460,Pending,Hotel
253,3456,2025-09-02,Travel Restriction,35870,Pending,System
254,10387,2024-07-09,Personal Issue,40573,Pending,Hotel
255,6171,2025-08-03,Schedule Conflict,15506,Processed,Customer
256,1140,2025-05-29,Personal Issue,27830,Pending,Hotel
257,7966,2024-08-04,Personal Issue,37070,Processed,Customer
258,1449,2024-08-02,Emergency,5038,Pending,System
259,10352,2024-11-23,Price Change,23688,Pending,Customer
260,1184,2025-07-22,Health Issue,4118,Pending,Hotel
261,7476,2026-03-31,Schedule Conflict,4742,Processed,Customer
262,11154,2025-05-24,Health Issue,7073,Processed,System
263,4120,2025-01-21,Personal Issue,3960,Processed,Customer
264,4058,2024-06-27,Travel Restriction,25218,Processed,Customer
265,11788,2024-11-27,Schedule Conflict,35461,Pending,Customer
266,502,2024-10-02,Health Issue,23916,Pending,Hotel
267,3127,2024-08-09,Price Change,38232,Processed,Customer
268,4588,2024-07-15,Health Issue,14843,Processed,System
269,2275,2025-05-28,Emergency,44102,Pending,Customer
270,4698,2024-06-23,Health Issue,47008,Processed,System
271,5280,2024-06-21,Health Issue,37080,Pending,Hotel
272,11600,2025-06-08,Emergency,44496,Pending,Hotel
273,968,2025-07-02,Travel Restriction,9217,Processed,Hotel
274,11263,2025-02-01,Personal Issue,3345,Processed,Customer
275,6122,2025-08-20,Schedule Conflict,22185,Pending,Customer
276,4680,2026-05-07,Travel Restriction,42537,Pending,System
277,9328,2025-01-30,Travel Restriction,8784,Processed,System
278,4621,2025-09-29,Schedule Conflict,47310,Pending,Hotel
279,7030,2025-08-30,Personal Issue,12976,Processed,System
280,175,2025-08-09,Price Change,36745,Processed,Hotel
281,4448,2024-12-02,Emergency,9502,Processed,Customer
282,3601,2025-01-18,Personal Issue,46538,Pending,System
283,7010,2025-11-01,Health Issue,16523,Processed,System
284,11093,2025-05-22,Travel Restriction,19199,Processed,System
285,5897,2025-12-07,Personal Issue,25676,Processed,Customer
286,6657,2025-06-19,Price Change,22531,Processed,System
287,6157,2025-03-27,Travel Restriction,3591,Pending,Customer
288,2874,2025-07-20,Personal Issue,31923,Pending,System
289,4432,2026-03-29,Health Issue,9161,Pending,System
290,4603,2025-11-25,Health Issue,32339,Pending,Hotel
291,3575,2026-01-22,Travel Restriction,43052,Processed,Hotel
292,8018,2025-10-23,Travel Restriction,26116,Pending,Customer
293,749,2024-11-22,Price Change,18292,Processed,Hotel
294,11649,2025-03-04,Price Change,33168,Pending,Hotel
295,3465,2025-02-10,Schedule Conflict,24510,Processed,Customer
296,8197,2024-07-30,Travel Restriction,10039,Pending,System
297,2107,2025-08-31,Health Issue,9461,Processed,System
298,3832,2025-02-18,Health Issue,45827,Processed,Hotel
299,4661,2024-08-18,Travel Restriction,24840,Pending,Hotel
300,1175,2024-07-14,Health Issue,38357,Processed,Customer
301,4881,2024-09-15,Personal Issue,41227,Processed,Customer
302,11936,2025-10-12,Travel Restriction,34983,Processed,Hotel
303,2412,2025-06-29,Schedule Conflict,23694,Processed,Customer
304,3745,2024-06-25,Price Change,39361,Processed,Customer
305,6107,2026-01-17,Health Issue,7734,Processed,Hotel
306,5991,2025-12-30,Travel Restriction,32732,Pending,Customer
307,11885,2024-11-14,Emergency,27691,Processed,Hotel
308,445,2025-07-23,Travel Restriction,25507,Processed,Customer
309,8569,2024-09-02,Schedule Conflict,42953,Processed,Hotel
310,1970,2024-07-14,Emergency,26417,Pending,System
311,10734,2026-04-11,Personal Issue,8907,Processed,Hotel
312,7437,2024-10-30,Travel Restriction,4447,Pending,Customer
313,3396,2025-11-15,Schedule Conflict,7904,Pending,Hotel
314,5584,2025-03-13,Personal Issue,24779,Processed,Hotel
315,8910,2025-09-10,Travel Restriction,2312,Pending,Hotel
316,7858,2025-04-25,Health Issue,44516,Processed,System
317,11937,2025-02-18,Personal Issue,14518,Processed,Hotel
318,5035,2024-08-19,Schedule Conflict,36184,Processed,Customer
319,7969,2025-07-02,Travel Restriction,29277,Pending,System
320,3379,2024-06-28,Health Issue,28569,Processed,Hotel
321,1128,2025-10-30,Travel Restriction,47302,Processed,Customer
322,9755,2024-09-19,Travel Restriction,44624,Processed,System
323,1226,2024-06-15,Travel Restriction,29892,Processed,Hotel
324,8788,2025-07-28,Personal Issue,15696,Pending,Customer
325,8336,2025-02-22,Health Issue,16469,Processed,Hotel
326,6492,2025-07-30,Travel Restriction,30336,Processed,Customer
327,7056,2026-02-07,Schedule Conflict,21925,Processed,Customer
328,8479,2025-04-06,Emergency,33410,Processed,Hotel
329,6150,2025-07-19,Price Change,9269,Processed,Customer
330,8918,2026-02-08,Schedule Conflict,25660,Pending,System
331,9601,2025-06-16,Personal Issue,18102,Processed,Hotel
332,9087,2025-12-04,Health Issue,23921,Pending,System
333,2267,2025-08-05,Personal Issue,39667,Processed,Customer
334,6359,2025-10-11,Health Issue,37906,Pending,Customer
335,2883,2024-06-08,Emergency,25993,Pending,System
336,11690,2025-06-15,Travel Restriction,7412,Processed,Hotel
337,1375,2024-12-12,Emergency,42080,Processed,System
338,3080,2025-06-19,Travel Restriction,36535,Processed,System
339,884,2025-09-24,Personal Issue,15775,Processed,Customer
340,3621,2024-08-12,Travel Restriction,32658,Pending,System
341,8220,2025-05-07,Price Change,17647,Processed,System
342,5930,2025-07-24,Emergency,39933,Processed,Hotel
343,2754,2025-09-20,Health Issue,35738,Processed,Hotel
344,6521,2025-05-28,Personal Issue,31272,Processed,Customer
345,10828,2025-12-07,Travel Restriction,2422,Pending,Hotel
346,3644,2024-05-26,Emergency,41910,Pending,Customer
347,10026,2025-11-29,Emergency,38155,Processed,System
348,8290,2024-12-27,Price Change,10786,Processed,System
349,2136,2026-05-07,Travel Restriction,22883,Processed,Hotel
350,4058,2025-04-30,Schedule Conflict,41014,Processed,Customer
351,3003,2024-10-12,Schedule Conflict,10152,Pending,Hotel
352,8682,2025-10-28,Emergency,44817,Pending,Customer
353,6530,2025-10-25,Health Issue,34160,Pending,Hotel
354,1573,2025-05-05,Schedule Conflict,42621,Pending,Hotel
355,8443,2024-07-06,Schedule Conflict,26423,Processed,Customer
356,5552,2026-01-24,Price Change,9335,Pending,Customer
357,2693,2026-03-02,Schedule Conflict,48317,Pending,Hotel
358,7617,2025-01-10,Emergency,11888,Processed,Customer
359,650,2025-12-31,Schedule Conflict,24229,Pending,System
360,11959,2024-07-19,Travel Restriction,31122,Processed,Hotel
361,10448,2024-06-08,Emergency,37518,Pending,System
362,646,2024-07-06,Schedule Conflict,9662,Processed,Hotel
363,7694,2025-07-25,Personal Issue,39910,Processed,Hotel
364,3260,2025-11-05,Price Change,41708,Processed,Hotel
365,559,2024-11-19,Schedule Conflict,2143,Processed,System
366,10545,2025-09-14,Emergency,22261,Processed,Customer
367,17,2026-03-30,Health Issue,21197,Pending,Customer
368,10614,2024-11-24,Emergency,20050,Pending,Customer
369,8471,2025-12-20,Health Issue,24228,Pending,Hotel
370,6268,2025-11-02,Emergency,20376,Pending,Hotel
371,2661,2024-10-04,Emergency,35938,Pending,Customer
372,6660,2025-02-02,Health Issue,25001,Pending,System
373,6315,2024-07-30,Personal Issue,7606,Processed,System
374,1368,2025-11-25,Schedule Conflict,38061,Pending,System
375,11880,2025-07-11,Emergency,2499,Processed,Hotel
376,30,2026-05-04,Schedule Conflict,35065,Pending,Hotel
377,1315,2024-12-11,Health Issue,5365,Processed,System
378,4719,2026-01-28,Personal Issue,24995,Processed,Hotel
379,424,2025-06-04,Personal Issue,46255,Processed,System
380,568,2025-10-02,Price Change,39638,Processed,Customer
381,4544,2024-11-03,Price Change,12210,Pending,Customer
382,860,2024-05-27,Health Issue,14627,Processed,Hotel
383,2326,2024-10-29,Personal Issue,23884,Pending,Hotel
384,10242,2025-09-04,Personal Issue,31595,Pending,System
385,10155,2025-05-09,Personal Issue,31730,Processed,Hotel
386,2438,2025-10-27,Emergency,48351,Processed,System
387,5076,2024-12-20,Emergency,36398,Pending,Customer
388,8035,2026-02-02,Price Change,35615,Pending,Hotel
389,6230,2024-09-04,Personal Issue,19491,Processed,Customer
390,55,2026-01-26,Price Change,35875,Processed,Hotel
391,5840,2025-01-13,Price Change,13074,Pending,System
392,2840,2024-12-30,Health Issue,37300,Processed,System
393,5414,2025-04-15,Price Change,18969,Pending,System
394,6953,2025-01-12,Personal Issue,8395,Pending,Customer
395,717,2025-02-06,Health Issue,35646,Pending,Hotel
396,4575,2024-06-20,Schedule Conflict,23944,Processed,System
397,2894,2024-09-25,Health Issue,39235,Processed,Customer
398,8044,2025-02-04,Health Issue,16823,Processed,Customer
399,8808,2025-02-06,Travel Restriction,22896,Processed,Customer
400,5165,2024-10-31,Emergency,33549,Pending,Hotel
401,2757,2025-11-26,Personal Issue,3366,Processed,System
402,5041,2025-10-07,Schedule Conflict,27600,Processed,Customer
403,11454,2025-06-23,Schedule Conflict,18688,Processed,Customer
404,2251,2025-02-18,Travel Restriction,49919,Processed,Hotel
405,4368,2026-02-26,Travel Restriction,6422,Processed,Customer
406,767,2024-09-22,Schedule Conflict,45278,Pending,Hotel
407,4427,2026-03-01,Personal Issue,44593,Processed,System
408,3647,2025-01-28,Health Issue,14236,Pending,Customer
409,4606,2025-04-29,Personal Issue,1115,Processed,System
410,8079,2025-06-13,Travel Restriction,8242,Pending,System
411,1479,2026-04-12,Price Change,2632,Processed,Hotel
412,1327,2024-06-16,Price Change,45707,Processed,Customer
413,6620,2024-08-02,Price Change,17602,Processed,Customer
414,1363,2026-01-25,Price Change,8915,Processed,Hotel
415,8043,2024-07-11,Personal Issue,33395,Pending,System
416,772,2025-07-10,Price Change,23008,Processed,System
417,2073,2024-11-21,Emergency,40223,Processed,System
418,3030,2026-01-15,Emergency,27344,Processed,Customer
419,651,2025-07-25,Schedule Conflict,37912,Pending,Customer
420,4894,2025-03-20,Health Issue,14901,Processed,System
421,8955,2025-06-18,Price Change,33536,Pending,Hotel
422,5455,2025-05-25,Schedule Conflict,4254,Pending,Hotel
423,8907,2024-06-22,Health Issue,49636,Pending,Customer
424,11971,2025-01-20,Travel Restriction,45016,Pending,Customer
425,9185,2025-11-27,Personal Issue,30032,Pending,Customer
426,5133,2026-01-02,Schedule Conflict,28538,Processed,Hotel
427,3423,2024-09-23,Emergency,18887,Processed,Hotel
428,8525,2026-01-02,Emergency,2077,Pending,Customer
429,3861,2024-12-17,Personal Issue,33802,Pending,Hotel
430,1941,2025-10-01,Health Issue,22014,Pending,Customer
431,2183,2025-07-07,Personal Issue,48696,Pending,Customer
432,1779,2025-11-05,Personal Issue,28192,Pending,Hotel
433,8251,2024-09-29,Schedule Conflict,12869,Pending,Customer
434,11193,2025-08-19,Travel Restriction,4131,Processed,Customer
435,10461,2024-11-15,Health Issue,20881,Pending,Hotel
436,1141,2026-02-17,Price Change,17494,Pending,System
437,7076,2024-09-03,Price Change,7450,Pending,System
438,6318,2026-02-01,Travel Restriction,49716,Pending,Hotel
439,615,2025-02-01,Price Change,8950,Pending,Hotel
440,2116,2025-08-15,Travel Restriction,21504,Processed,Hotel
441,10109,2025-10-13,Emergency,13467,Processed,Customer
442,10040,2025-03-13,Personal Issue,8909,Processed,Hotel
443,2924,2025-06-05,Health Issue,28134,Pending,Hotel
444,461,2025-01-02,Schedule Conflict,5260,Processed,System
445,5834,2025-03-28,Price Change,24625,Pending,Customer
446,5348,2024-10-12,Health Issue,7206,Processed,Hotel
447,151,2024-08-28,Personal Issue,3855,Pending,System
448,7583,2026-05-03,Emergency,7265,Processed,System
449,5930,2026-03-20,Personal Issue,23337,Processed,System
450,5159,2025-01-19,Travel Restriction,16243,Processed,System
451,10709,2024-10-03,Schedule Conflict,16566,Processed,Customer
452,7009,2026-04-08,Emergency,34530,Processed,Hotel
453,8260,2025-04-09,Health Issue,20238,Pending,Hotel
454,7777,2025-09-30,Emergency,14835,Pending,Customer
455,5693,2025-02-05,Emergency,7557,Processed,System
456,96,2025-10-23,Health Issue,47156,Processed,Hotel
457,11970,2025-03-19,Travel Restriction,12837,Processed,System
458,1596,2025-08-03,Health Issue,15023,Processed,Customer
459,6442,2026-04-30,Health Issue,47763,Processed,Hotel
460,11521,2025-12-15,Schedule Conflict,3685,Pending,Customer
461,197,2024-11-01,Price Change,16658,Pending,System
462,3297,2025-05-29,Health Issue,33129,Processed,Hotel
463,7969,2024-08-28,Personal Issue,47454,Processed,Hotel
464,2087,2024-10-25,Schedule Conflict,25180,Processed,Customer
465,4497,2025-04-28,Emergency,49968,Pending,Hotel
466,6612,2025-07-09,Price Change,25271,Pending,Customer
467,8837,2025-07-14,Travel Restriction,45564,Pending,Customer
468,9677,2025-10-10,Schedule Conflict,43414,Pending,Customer
469,5981,2025-01-01,Schedule Conflict,49156,Pending,Hotel
470,11867,2025-11-13,Emergency,26262,Pending,System
471,9330,2026-04-02,Schedule Conflict,34550,Pending,Hotel
472,7753,2025-05-28,Price Change,15464,Pending,Customer
473,4365,2025-01-04,Health Issue,8850,Pending,System
